"","date","user_location","text","dat"
"115","21-08-2020 08:55","Kerala, IN","WHO starts discussions on Russia Covid-19 vaccine

https://t.co/qfzfDHnMlD

#WHO @WHO #Russia #CovidVaccine #Covid_19",2021-08-20
"116","21-08-2020 08:45","London, England","A biotechnology company by the name of #CanSino Biologics has been among the first to have an approved patent appli… https://t.co/j7ietneXF1",2021-08-20
"117","21-08-2020 08:33","India and USA, 5 years Old","Russia looking for partnership with India for producing #COVIDvaccine #SputnikV, says official… https://t.co/J4R1KJpkJ1",2021-08-20
"118","21-08-2020 08:21","New Delhi,Delhi","LPU Scientists working on Coronavirus Treatment
@lpuuniversity #CovidVaccine #Covid_19 

https://t.co/3eVOmOSF8h https://t.co/NfIyLZgBsz",2021-08-20
"119","21-08-2020 08:02","Bangkok, Thailand","COVID-19 Vaccines: Pfizer And BioNTech Releases Additional Data On COVID-19 Vaccine Candidate BNT162b2 Early Study… https://t.co/2U974T1tXI",2021-08-20
"120","21-08-2020 07:59","Jaipur, India","COVID changed everything.
What's your opinion on this article?
https://t.co/NdkwhIBnSD
#COVID19… https://t.co/8br9DfQM2k",2021-08-20
"121","21-08-2020 07:57","Cochin, India","Vipul Shah to make a Web Series on Vaccine Trails..!
 #Vaccine #vaccinetrails
#CovidVaccine https://t.co/1smoBRJyno",2021-08-20
"122","21-08-2020 07:49","Kolkata","Covaxin could be available by end of 2020:Harsh vardhan
#covid19
#covaxin
#CovidVaccine
#News18bangla 
https://t.co/J3JtlnAyJd",2021-08-20
"123","21-08-2020 07:47","Neverland","@NobelPrize It's obvious that it should go to covid vaccine discovery....but the doctors who r fighting this virus… https://t.co/xWA6KNpRZr",2021-08-20
"124","21-08-2020 07:39","RNA World","#covidvaccine Again- if health agencies are to approve based on 'correlates of efficacy', urgently need standardiza… https://t.co/RBk5xej4tw",2021-08-20
"125","21-08-2020 07:01","Australia","Keep our kids safe #covidvaccine https://t.co/168sr2ebjb",2021-08-20
"126","21-08-2020 06:57","Hyderabad, India","Rakesh Mishra Shocking Comments On Covid Vaccination. #Telugunews #Youtube #NewsToday #COVIDUpdates #CovidVaccine… https://t.co/rCqkv8wFDn",2021-08-20
"127","21-08-2020 06:50","Purnia, India","As @narendramodi mentioned about #CovidVaccine so why are we taking risks with Millions of Student's life and their… https://t.co/XcASWfpcum",2021-08-20
"128","21-08-2020 06:46","Australia","Will our children ever get to meet their grandparents or great grandparents? #CovidVaccine https://t.co/5fpQRcSZaC",2021-08-20
"129","21-08-2020 06:39","Melbourne, Australia","Imagine having to result to name calling ridiculing people and mocking people of differing opinions about the… https://t.co/ntnyxLuG8P",2021-08-20
"130","21-08-2020 06:28","Mohali, India","RDIF CEO: Russia in terms with India to produce Sputnik V

https://t.co/2co0lPluHr

#Russia #COVIDVaccine #SputnikV",2021-08-20
"131","21-08-2020 06:25","India","Good News! India’s 1st #COVID19 Vaccine to be Available: Health Minister Shares Updates 

https://t.co/qb8zpxeIWP… https://t.co/FFKNsdg29j",2021-08-20
"132","21-08-2020 06:15","Kamrej, India","#ProtestAgainstExamsInCOVID 
COVID-19 antibody test Available....🔬💉
Best Discount....💊

Contact: 8320175259
 (IN SU… https://t.co/eda7Ex3RjJ",2021-08-20
"133","21-08-2020 06:14","Beijing, CHINA","Mass testing of #Russia's first potential #CovidVaccine gets domestic regulatory approval and will commence next we… https://t.co/zP0GNQpdc6",2021-08-20
"134","21-08-2020 06:10","Mumbai, India","After receiving severe criticism over the efficacy and safety of the world’s 1st #CovidVaccine , #Russia has announ… https://t.co/WJYBpIUZtY",2021-08-20
"135","21-08-2020 06:05","台北市中正區南昌路2段103號4樓之1","A Taiwanese-developed #CovidVaccine has been given the go-ahead to start human trials. From Addimune Corp., it is t… https://t.co/7ma2Gh9lNn",2021-08-20
"136","21-08-2020 05:53","🇮🇳","@tanvishukla #PMCBankCrisis #justice for #pmcbankdepositors #prayers for us cos almost a year to this huge scam and… https://t.co/qLMLNpWi2V",2021-08-20
"137","21-08-2020 05:51","Houston, TX","@abc13houston This is why they don't want kids in schools yet. If you make the flu vaccine mandatory, the FOREVER… https://t.co/91aaSS6l3C",2021-08-20
"138","21-08-2020 05:41","Mumbai","Russia is looking for a partnership with India for producing Covid-19 vaccine Sputnik V. Russian Direct Investment… https://t.co/T0zHhWXGRF",2021-08-20
"139","21-08-2020 05:41","Odisha, India","Clinical Trials Of Russian Covid-19 Vaccine, Mexico Offered 2,000 Doses #COVID__19 #CovidVaccine #kalingatv
https://t.co/jp0RO0EvV6",2021-08-20
"140","21-08-2020 05:22","india","Picture speaks ... COVID-19 &amp; California Fires..! What’s happening to 2020 ??  #PrayforCalifornia #prayforcorona… https://t.co/7RQVAoPIlN",2021-08-20
"141","21-08-2020 05:21","Wollongong, New South Wales","#bcm206 #meme #weaponisedempathy #vaccines #CovidVaccine #COVID19 Some work we have done for media studies. Not pro… https://t.co/cRdGx6wrJU",2021-08-20
